judge,face,cond,C1,C2,rating
22,24,A,-0.5,0,6
69,24,A,-0.5,0,5
7,24,A,-0.5,0,2
41,24,A,-0.5,0,5
60,24,A,-0.5,0,5
19,24,A,-0.5,0,1
59,24,A,-0.5,0,4
15,24,A,-0.5,0,2
51,24,A,-0.5,0,2
8,24,A,-0.5,0,5
32,24,A,-0.5,0,4
6,24,A,-0.5,0,1
28,24,A,-0.5,0,2
10,24,A,-0.5,0,2
26,24,A,-0.5,0,5
53,24,A,-0.5,0,1
46,24,A,-0.5,0,4
24,24,A,-0.5,0,1
34,24,A,-0.5,0,4
16,24,A,-0.5,0,4
58,24,A,-0.5,0,2
12,24,A,-0.5,0,4
39,24,A,-0.5,0,4
38,24,A,-0.5,0,6
37,24,A,-0.5,0,5
43,24,A,-0.5,0,5
3,24,A,-0.5,0,2
54,24,A,-0.5,0,5
11,24,A,-0.5,0,4
61,24,A,-0.5,0,3
13,24,A,-0.5,0,4
70,24,A,-0.5,0,5
44,24,A,-0.5,0,5
14,24,A,-0.5,0,2
17,24,A,-0.5,0,3
27,24,A,-0.5,0,2
55,24,A,-0.5,0,4
36,24,A,-0.5,0,4
5,24,A,-0.5,0,5
21,24,A,-0.5,0,3
48,24,A,-0.5,0,1
23,24,A,-0.5,0,2
2,24,A,-0.5,0,3
35,24,A,-0.5,0,3
1,24,A,-0.5,0,5
67,24,A,-0.5,0,6
29,24,A,-0.5,0,2
52,24,A,-0.5,0,4
62,24,A,-0.5,0,5
50,24,A,-0.5,0,5
4,24,A,-0.5,0,5
9,24,A,-0.5,0,2
56,24,A,-0.5,0,1
49,24,A,-0.5,0,3
64,24,A,-0.5,0,3
47,24,A,-0.5,0,1
68,24,A,-0.5,0,1
63,24,A,-0.5,0,2
42,24,A,-0.5,0,5
31,24,A,-0.5,0,3
33,24,A,-0.5,0,1
57,24,A,-0.5,0,4
25,24,A,-0.5,0,5
45,24,A,-0.5,0,1
30,24,A,-0.5,0,6
18,24,A,-0.5,0,5
40,24,A,-0.5,0,6
65,24,A,-0.5,0,1
66,25,A,-0.5,0,1
20,25,A,-0.5,0,2
22,25,A,-0.5,0,4
69,25,A,-0.5,0,4
7,25,A,-0.5,0,2
41,25,A,-0.5,0,6
60,25,A,-0.5,0,2
19,25,A,-0.5,0,1
59,25,A,-0.5,0,4
15,25,A,-0.5,0,2
51,25,A,-0.5,0,1
8,25,A,-0.5,0,2
32,25,A,-0.5,0,3
6,25,A,-0.5,0,1
28,25,A,-0.5,0,2
10,25,A,-0.5,0,2
26,25,A,-0.5,0,3
53,25,A,-0.5,0,3
46,25,A,-0.5,0,4
24,25,A,-0.5,0,1
34,25,A,-0.5,0,1
16,25,A,-0.5,0,1
58,25,A,-0.5,0,1
12,25,A,-0.5,0,2
39,25,A,-0.5,0,2
38,25,A,-0.5,0,4
37,25,A,-0.5,0,5
43,25,A,-0.5,0,1
3,25,A,-0.5,0,6
54,25,A,-0.5,0,1
11,25,A,-0.5,0,2
61,25,A,-0.5,0,3
13,25,A,-0.5,0,1
70,25,A,-0.5,0,2
44,25,A,-0.5,0,6
14,25,A,-0.5,0,2
17,25,A,-0.5,0,3
27,25,A,-0.5,0,5
55,25,A,-0.5,0,4
36,25,A,-0.5,0,3
5,25,A,-0.5,0,1
21,25,A,-0.5,0,2
48,25,A,-0.5,0,1
23,25,A,-0.5,0,3
2,25,A,-0.5,0,5
35,25,A,-0.5,0,3
1,25,A,-0.5,0,5
67,25,A,-0.5,0,4
29,25,A,-0.5,0,5
52,25,A,-0.5,0,1
62,25,A,-0.5,0,3
50,25,A,-0.5,0,2
4,25,A,-0.5,0,4
9,25,A,-0.5,0,3
56,25,A,-0.5,0,3
49,25,A,-0.5,0,4
64,25,A,-0.5,0,1
47,25,A,-0.5,0,2
68,25,A,-0.5,0,1
63,25,A,-0.5,0,2
42,25,A,-0.5,0,1
31,25,A,-0.5,0,4
33,25,A,-0.5,0,1
57,25,A,-0.5,0,2
25,25,A,-0.5,0,2
45,25,A,-0.5,0,1
30,25,A,-0.5,0,5
18,25,A,-0.5,0,3
40,25,A,-0.5,0,2
65,25,A,-0.5,0,5
66,28,A,-0.5,0,3
20,28,A,-0.5,0,5
22,28,A,-0.5,0,5
69,28,A,-0.5,0,6
7,28,A,-0.5,0,1
41,28,A,-0.5,0,1
60,28,A,-0.5,0,4
19,28,A,-0.5,0,1
59,28,A,-0.5,0,3
15,28,A,-0.5,0,2
51,28,A,-0.5,0,1
8,28,A,-0.5,0,3
32,28,A,-0.5,0,1
6,28,A,-0.5,0,1
28,28,A,-0.5,0,3
10,28,A,-0.5,0,2
26,28,A,-0.5,0,4
53,28,A,-0.5,0,2
46,28,A,-0.5,0,4
24,28,A,-0.5,0,1
34,28,A,-0.5,0,1
16,28,A,-0.5,0,3
58,28,A,-0.5,0,1
12,28,A,-0.5,0,3
39,28,A,-0.5,0,2
38,28,A,-0.5,0,3
37,28,A,-0.5,0,4
43,28,A,-0.5,0,2
3,28,A,-0.5,0,2
54,28,A,-0.5,0,3
11,28,A,-0.5,0,3
61,28,A,-0.5,0,1
13,28,A,-0.5,0,4
70,28,A,-0.5,0,3
44,28,A,-0.5,0,7
14,28,A,-0.5,0,2
17,28,A,-0.5,0,1
27,28,A,-0.5,0,1
55,28,A,-0.5,0,4
36,28,A,-0.5,0,3
5,28,A,-0.5,0,2
21,28,A,-0.5,0,2
48,28,A,-0.5,0,4
23,28,A,-0.5,0,2
2,28,A,-0.5,0,3
35,28,A,-0.5,0,2
1,28,A,-0.5,0,5
67,28,A,-0.5,0,2
29,28,A,-0.5,0,6
52,28,A,-0.5,0,2
62,28,A,-0.5,0,1
50,28,A,-0.5,0,4
4,28,A,-0.5,0,3
9,28,A,-0.5,0,2
56,28,A,-0.5,0,6
49,28,A,-0.5,0,2
64,28,A,-0.5,0,2
47,28,A,-0.5,0,4
68,28,A,-0.5,0,1
63,28,A,-0.5,0,1
42,28,A,-0.5,0,2
31,28,A,-0.5,0,3
33,28,A,-0.5,0,1
57,28,A,-0.5,0,2
25,28,A,-0.5,0,2
45,28,A,-0.5,0,1
30,28,A,-0.5,0,6
18,28,A,-0.5,0,3
40,28,A,-0.5,0,3
65,28,A,-0.5,0,1
66,32,A,-0.5,0,4
20,32,A,-0.5,0,6
22,32,A,-0.5,0,7
69,32,A,-0.5,0,2
7,32,A,-0.5,0,2
41,32,A,-0.5,0,1
60,32,A,-0.5,0,3
19,32,A,-0.5,0,1
